0,217
1,175
2,88
3,71
4,202
5,188
6,24
7,162
8,161
9,86
10,108
11,72
12,172
13,83
14,75
15,247
16,36
17,179
18,251
19,218
20,64
21,132
22,82
23,57
24,191
25,45
26,46
27,101
28,134
29,222
30,225
31,65
32,37
33,127
34,216
35,240
36,146
37,206
38,29
39,30
40,85
41,149
42,210
43,68
44,150
45,147
46,159
47,5
48,213
49,129
50,139
51,11
52,178
53,207
54,173
55,237
56,70
57,100
58,199
59,93
60,231
61,1
62,250
63,120
64,200
65,214
66,241
67,154
68,81
69,14
70,8
71,229
72,201
73,102
74,253
75,33
76,148
77,245
78,177
79,143
80,221
81,114
82,223
83,155
84,63
85,69
86,53
87,58
88,95
89,232
90,60
91,141
92,66
93,212
94,2
95,165
96,122
97,176
98,205
99,182
100,7
101,80
102,184
103,118
104,17
105,170
106,98
107,255
108,144
109,248
110,211
111,16
112,43
113,113
114,9
115,243
116,78
117,140
118,192
119,97
120,197
121,235
122,138
123,209
124,228
125,106
126,219
127,135
128,22
129,128
130,48
131,204
132,47
133,49
134,31
135,185
136,180
137,224
138,3
139,230
140,77
141,239
142,109
143,168
144,195
145,198
146,189
147,112
148,62
149,160
150,131
151,41
152,123
153,79
154,119
155,110
156,164
157,90
158,158
159,44
160,183
161,27
162,51
163,117
164,10
165,244
166,133
167,233
168,142
169,242
170,6
171,126
172,67
173,56
174,28
175,111
176,137
177,76
178,220
179,116
180,190
181,18
182,153
183,156
184,193
185,39
186,151
187,19
188,121
189,94
190,252
191,55
192,38
193,103
194,42
195,61
196,54
197,50
198,130
199,89
200,249
201,91
202,13
203,96
204,87
205,92
206,174
207,196
208,59
209,74
210,234
211,194
212,166
213,208
214,167
215,163
216,125
217,73
218,26
219,226
220,115
221,0
222,157
223,25
224,171
225,20
226,238
227,104
228,32
229,84
230,145
231,169
232,4
233,23
234,52
235,215
236,236
237,15
238,34
239,181
240,99
241,246
242,12
243,35
244,21
245,227
246,136
247,107
248,152
249,186
250,187
251,254
252,105
253,203
254,40
255,124
